parameter,value
function,WFG1
dimension,24
population_size,120
max_generation,1000
parent_size,25
child_size,95
seed,1
constraint,0
mutation_rate,0
learning_rate,0.0041666666666666666
M,3
k,4
l,20

initial_population
index,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,f0,f1,f2,rank,crowding_distance,constraint_violation,evaluated
65,0.47700620125519189,0,0,1.6124660622073006,0,12,0,16,18,0,22,0,0,0,30,29.11871624170092,34,36,0,40,42,44,0,0,1.0896201250297968,1.1194146936795226,4.9259373655901806,0,0.027729114309306638,0,1
66,0.010360524026818196,0,0,8,0,12,0,16,18,0,0,24,26,0,30,0,0,0,0,0,0,0,46,0,1.0820908283684345,1.0951349228601401,5.199630898982285,0,0.027672011189314616,0,1
67,0,0.00085413064987888143,1.7981857789080464,2.8771081946336414,10,5.3279719530399738,2.4633214196597883,9.7804737786173543,8.3320561466394896,0,0,22.512473689613245,21.002404196709964,1.8395343248917759,9.8241056985490758,15.42222658409932,0,0,37.290961993508802,31.843099536335121,21.919032092630136,0,18.999121802808034,2.6695612020450534,1.6936742752498843,0.9871801066382867,3.4330938531962096,0,0.027634516721848738,0,1
68,0.59958605016822675,1.0189266804565915,0,0.0051108738773407714,7.4448447668824764,8.6241628844713372,6.0054916578787623,1.5595627278808109,14.21084320342621,10.281926638994445,8.7366199494514998,11.320366710054824,1.2416393208630194,6.3798694250947525,13.313894350052813,2.6150788094005017,10.69659552675107,2.0998865176977226,14.295183437606052,27.647425666049738,4.30172133463652,44,14.973554763505291,8.8593553191972525,1.5254368222446706,2.1305846472414727,0.99442654236773553,0,0.02756711026518718,0,1
69,0,0.01181607976987975,4.7570329029203977,0,10,0,7.6064212839109322,12.543460280119747,5.4737740885693658,0,0,0,19.994309244104279,0,12.87393425214767,24.415591273193275,0,28.952111972833652,38,40,0,17.850356457715712,2.5514057369509144,24.661865402099064,1.1634577312588039,1.600920912630355,3.3891175656624766,0,0.027389615217263942,0,1
70,0.00015172944469182825,1.1994446836514014,0,8,4.8647432747355035,0,0,0,2.7668660641005176,0,22,0,26,28,30,0,0,0,0,33.278695229682782,28.530105075211885,44,0,48,1.6642714195475945,1.7701462825658396,1.2974399752486527,0,0.027359850045276499,0,1
71,0,2.658959983367351,1.4746281240719905,0.0019064352991358113,6.2491497236977303,1.9527866952822412,0,0,18,0,5.4143361533133323,0,26,23.013445749452728,17.428167676090165,21.541123230403727,0,36,13.980974194275444,0,0,44,23.528467954350045,46.638998469473918,1.8217149154000576,1.0141603508691315,3.2017884860879069,0,0.027329426283471406,0,1
72,0.79628251453297061,0.044654670298883259,0,0,10,6.6285329325663627,0,0.43431117386025608,18,4.0358212155275224,14.721526161776771,24,15.808464171394558,11.215843142005131,27.108294650324211,24.649281119834622,0,0,24.163240388814998,12.335398650664704,0,44,42.214165728080488,6.7235227200449996,0.98991004618460676,4.5921964700464653,1.1960228181823269,0,0.0273128180741041,0,1
73,0,4,0,8,10,12,0,16,0,0,2.7558916177530346,24,26,0,30,0,0,14.789721954205332,38,40,0,15.820803841334087,5.7553830966391022,0,1.3667828299250129,1.4266096668476869,3.1556713004102845,0,0.027135379946388927,0,1
74,0.12016902186331582,0.0014117134966770417,1.8445624045850055,1.5831102040233369,10,8.8515104464945829,6.4997938430634772,5.5632915693882827,11.593557180247236,5.0276254283577284,0.96156395517202831,13.269057366816174,8.5308752053747252,1.9928512669017346,19.601137405991878,8.6745351803180775,21.251567131683778,10.13200360894515,37.000515505995239,36.337465393774444,13.249599630476322,13.129671796193565,38.606716663952945,0,2.5441551395808175,0.98298030822842875,1.7702844456422087,0,0.026740599027815913,0,1
75,0,0.01956275049670575,0,8,10,6.0374115372780297,0,0,18,0,22,24,1.9183387195210475,9.6199930769888908,0,32,0,0,25.581461005759621,12.736294507024883,32.276106800170908,44,26.920047814011689,0,1.2993726357538764,1.3486001225099802,3.389567921149744,0,0.02666527279057998,0,1
76,0,0.033669942851191403,1.7664872085695664,0,2.0313451048228739,7.1552026070808097,7.8259572834005731,16,18,16.094181997361769,7.7536098305350025,24,18.589674098493191,1.6814861731166839,30,31.083738455307603,9.5791295027341459,13.784547856583298,16.547211983262176,12.804420834334367,3.5101238961255374,30.995066488465817,17.110102436219634,9.3146268267599694,1.1501213488588289,1.6290508379678541,3.3751870611882446,0,0.026509405285538717,0,1
77,2,0.12253939403227104,0,0,10,12,14,0,18,0,0,24,0,0,0,28.234861164563256,0,7.3296694021075304,38,40,0,0,46,27.290823303917755,0.9970805953269638,4.7152498352626289,1.0779002390899626,0,0.026428160842555243,0,1
78,2,1.7943755711613782,2.0993973587454775,0,10,12,0,16,18,0,0,24,26,28,0,32,0,36,0,31.061438001300186,0,0,0,9.5450474479340528,1.4103013896101735,2.5224594861914014,0.99940664049722228,0,0.026292043280415161,0,1
79,0.0011854502919472765,0.55530716318696438,0,1.6543775425641556,10,12,0,16,18,20,22,14.216528499859646,26,0.0070359764098952837,0,32,9.4122340739900636,0,0,40,42,44,0,48,1.6275151923677456,1.8346111109124608,1.2808530668669686,0,0.026064844719339796,0,1
80,0.00032587487924609637,0,0,7.096070687166022,10,10.075431418437692,0,0,18,20,22,16.041341453805497,26,28,30,0,0,0,38,27.861427015036902,8.4623919402365431,44,46,42.283182132212772,1.0684273477241188,1.080643628752727,5.4296230691488461,0,0.025952244145719852,0,1
81,0,0.14702465485042762,0,0,0,12,0,16,18,0,22,0,0,28,30,32,0,36,38,40,42,44,0,48,1,2.7727281601215048,3.3866668787472287,0,0.025662705823810035,0,1
82,1.231070943351674,4,0.83575461484418767,0.10152596568504801,0,0,14,0,0,20,22,0,12.324960388846671,28,0,0,34,24.224100855310002,0,0,42,44,0,48,2.7868790705359552,1.0181302920218367,0.99784478165519563,0,0.025636205487397781,0,1
83,2,0.20424067234965221,0,0,10,12,0,0,18,0,22,24,26,28,0,14.815316320303173,0,0,38,13.800576369682396,42,44,15.352762807633436,0,0.98800452247397963,4.7462084799731574,1.0403731324320726,0,0.025250664195161004,0,1
84,0.043547549946255981,0,3.1454588308704521,8,10,0,0,0,18,20,22,24,26,28,0,0,0,0,0,0,0,44,0,13.89041943554448,1.2259249486773016,0.9972685892940848,5.0926551445435866,0,0.025086779971714802,0,1
85,2,0.016700282071405614,6,0,0,0.6763742749295889,0,6.1067327189627036,16.13587868685136,0,22,24,26,28,5.9756943106267286,32,0,8.5698313364938112,38,0,42,44,0,48,1.3850756377245248,2.3387515518281004,1.2538759073016981,0,0.024972443615306528,0,1
86,2,0.039574854589796898,6,0,0,12,14,16,0.87385984365870151,20,0,0,26,28,30,0,34,0,0,40,42,0,46,39.904232836690454,1.3955841030967346,2.3666452126443467,1.168468878154882,0,0.024663553570350431,0,1
87,0.23954955647498855,0,0,0,0,12,14,0,3.8890340571080912,20,2.399711453742988,24,0,0,30,0,1.9244599752849467,0,38,40,0,0,46,0,0.99895416070292231,1.4921598823872952,4.9723353674198121,0,0.024617008612232739,0,1
88,2,1.1173881037868187,2.5589948824660662,0.067467558038493358,10,10.972534121454018,14,16,18,0,0,24,0,0,0,32,18.138279345852617,36,38,5.8843879068524103,0,0,46,0,2.7640264873779534,1.0147501003184729,1.0024758715375586,0,0.024130302238408778,0,1
89,2,2.036152346595784,0,4.8051905784029643,0,0,0,0,18,0,0,24,26,28,30,0,0,0,0,0,0,11.527459677361549,46,48,1.7264874255854861,1.8809601410327876,0.99873250910883815,0,0.024017850553322652,0,1
90,0,1.4074631741190275,0,0.021870976218103966,0,0,14,0,0,16.611034931279246,20.667158727335426,7.3236666203090657,0,28,0,32,34,36,38,24.822936045783543,0,0,46,48,1.2873883580022867,1.5443796062373414,3.2699066384325484,0,0.023951828370972768,0,1
91,2,0,1.2858323521444233,6.7024683565554799,8.7136996266784763,0,5.4651352543719787,0,5.0037532684384063,20,8.1689976969293756,1.5711197965869395,26,0,30,0,17.041811186535778,16.109434127173198,0,13.570603913906222,0,25.141582707480573,38.90914367614829,16.806870990522945,1.2336881442822021,0.97220960520695043,4.8066617782242256,0,0.023886877837167531,0,1
92,0.87080834877320423,0.21048020345540275,2.2243128724783801,0.63375857429738358,0,12,0,14.645332077855233,18,0,2.0211583779733813,0,19.38506153118794,20.084757817263075,15.242170252897511,32,6.3410514320822697,9.7854495776316739,0.35719189159520276,11.441976935925723,42,44,10.130855402113328,0,2.7469519760183654,0.99735497467778533,1.0657579947696949,0,0.023764768418290238,0,1
93,0.35706376593992672,0.10064338263222766,0,0,2.1159899166717286,10.92467755297556,0,9.8620822935617927,18,11.489061721110208,18.659268529217236,21.009352086924441,26,22.851981526886473,30,24.333588333051399,0,9.773936155158335,19.61133278925438,19.825093382072872,36.060356556294479,44,46,18.98693143183775,0.98755705423156526,4.6197195384354153,1.1552969846528511,0,0.023503699038562014,0,1
94,0,0.0016613652612742502,3.6637768885656219,0,0.061029297557145978,12,14,16,18,20,0,24,26,0,30,0,0,26.04737088768708,22.635841438950354,40,0,15.884126442405208,46,0,1.1530773179833791,1.5655089140977536,3.4165599706929468,0,0.022852946756899209,0,1
95,2,4,1.1899770083712093,0,10,12,0,16,18,0,22,24,0,28,0,32,10.081646573380141,0,0,8.7071168058681536,42,44,0,0,1.4066407910765573,2.5703086981452228,0.996669959707562,0,0.022847111072662636,0,1
96,0.11500811990174564,0.19000912295211478,6,0.62878781228296532,10,0,0,0,12.669057403357975,20,22,7.4292383418937806,13.172887214183161,15.033336795389106,0,32,15.268522260062133,22.559803111452066,38,39.049276803928535,42,44,7.1339829882293717,23.316826787328797,2.726609646285902,0.99283826065323899,1.1516437586734343,0,0.022844958364036078,0,1
97,1.1828538281411183,2.6028305557686204,0,0.0030896136766404569,2.6634344521980986,9.3655099144661325,2.3166050985905797,8.793797311674119,18,0.11419212162191394,0,8.7449202904187615,26,15.240139701050666,30,13.875440638055711,0,0,7.3468924720919002,15.133223649863197,0,31.765275408284054,31.131666333696501,35.979901517634659,1.5367550322919064,2.1910804207908976,0.98553594808430667,0,0.02282396203387627,0,1
98,0.12736113752025108,0.32555769490679409,1.6183411315511127,0.49099081464337052,10,5.1389763048680646,3.3193875983697447,0,13.376927266807346,13.192017745727821,13.936398072762778,0,26,0,2.4405930848879738,21.993928824402939,12.774871597953076,36,38,25.885262066318639,6.6595213098844717,29.06875078291446,30.023743526280118,48,2.7088467817924031,0.99704879099872612,1.1009380779259956,0,0.022105310096536757,0,1
99,0.00018349913702661591,0,1.2781600006797005,0,3.9127307708489001,9.2713145511606392,0.57951943093934977,11.438383575403675,14.180433829102409,12.681721006001794,0.85362961032587026,14.932476886614449,18.227757404294149,1.7594726922247976,14.335927467366469,24.413167443472549,0,6.721606746705179,31.082198117569785,40,26.434474293324467,26.510234478648385,30.259384455306005,34.937430301196699,1.0270770652276313,1.1349512076239683,5.4554667233250953,0,0.021774507707791713,0,1
100,0,0.23475584791110826,0,0,10,4.3969327259505624,3.0983451296837337,16,18,20,22,0,26,28,30,32,0,36,0,40,0,44,46,0,0.99810947948406537,2.8015559995489738,3.3728374473056073,0,0.021717586082613774,0,1
101,0.038574805703321058,0.002194975553806211,4.0898526085432669,0,4.7058573464543194,5.176633983386175,8.6024291945317177,5.5440983466832661,16.551448867037493,0,8.7164043693346525,17.525514412122355,7.604348185903997,17.69918472925356,21.033434834011498,32,11.592575975373341,0,10.658127678438882,12.295531528467089,13.080276438195369,44,27.097336170552243,12.180643098825314,1.3257938354181895,2.2162679315930505,1.7884802732793192,0,0.021447869576773127,0,1
102,2,0.024895525924030798,2.4919197202869121,0.19794330608680366,7.7188744727907821,0,0,5.4531535070006587,0,0,21.318311560247441,24,0,0,0,30.592037085794992,29.368953962309167,4.2933797915704375,1.8763040533410926,40,0,0,36.38848681846811,0,2.6583161197520511,1.0066442303652372,1.2109476701090847,0,0.0214212969725995,0,1
103,2,4,0.36541444697723113,0,0,0,0,16,0,5.4763417110529673,0,0,0,28,0,19.658678226093603,34,36,0,0,42,44,0,48,1.3897965896568798,2.6203795083937877,0.99809352081757152,0,0.021282301827334992,0,1
104,0,1.012991474572194,6,0,8.959379621215966,12,0,0,18,0,0,0,26,0,0,0,34,0,0,0,42,44,0,0,1.2074595467754361,1.7162460236519568,3.2991012215494551,0,0.020730190595489587,0,1
105,0,0.099492142930001304,0,0,8.5944737754825979,12,0,16,18,20,0,0,26,28,0,32,0,36,38,14.806335520497953,30.392876298436317,0,46,0,0.99467315105177501,2.7421275657719733,3.3878250529544509,0,0.0207274097673447,0,1
106,0.48433494566540025,4,6,0,10,0,14,16,0,20,22,0,0,0,0,4.9603598202961301,34,36,38,40,0,0,46,0,1.4293771218688092,2.483418884380364,1.0002246161592161,0,0.020222459968227111,0,1
107,0.90007322878124141,0,0,0,10,12,0,0,0,0,0,24,17.306137788324236,28,0,32,34,0,38,40,42,0,0,0,0.99941402866814466,1.5188423762306904,4.8837386516302699,0,0.019975859456635759,0,1
108,1.2952270391443721,0.057694122899251146,4.8110335625408682,0.067375897719640504,4.1831276845985776,12,14,16,18,20,0,24,26,0,30,0.51461222673392215,0,34.021124387110937,38,35.265835219611603,0,0,46,0.31033524827322301,2.6654902654236685,1.0117673017419271,1.154842775658437,0,0.019546443489565059,0,1
109,0,0.0018853760025245858,0,5.4578470251937823,10,12,14,0,7.3348172986600924,15.289578552951424,18.398144059209528,5.6716183662615114,20.046723367139009,0,30,0,10.628644468795951,0,24.730327330777371,40,42,40.589365170347591,46,39.249273979567072,1.2728266289567016,1.3284398345056547,3.4137269723575665,0,0.01943111041894326,0,1
110,0,4,0,1.1902796313315844,10,12,0,16,18,18.206518397834198,22,0,0,0,0,32,34,36,0,40,42,44,0,0,1.3504883559735323,1.4789178268187213,3.1652587630285614,0,0.018283465169618783,0,1
111,0.25942394482369574,4,0,0.6601632535715799,0,0,0,16,18,18.561896440048546,0,0,26,28,30,0,0,0,0,40,0,44,46,5.3832863040817296,1.6709067979842442,1.9633009391798106,1.0016827308495606,0,0.018216756751962784,0,1
112,2,4,0.052627970547439284,0,10,0,0,16,18,20,0,0,26,28,30,32,0,36,38,0,0,0,46,0,1.3634085464359051,2.7008102173844248,1,0,0.0177557405524894,0,1
113,2,4,0,1.59519996132899,0,12,0,16,0,0,22,24,0,0,0,32,16.972978874039065,36,38,0,42,0,0,48,1.7073650346983462,1.9433461397358647,0.9983732808822251,0,0.017240644918381499,0,1
114,2,3.1649350360968729,6,0,10,12,0.65867078752209185,0,18,14.182624501001355,22,24,0,0,8.3362643026188596,0,11.070740451750304,12.022152499575766,5.6931515857692343,40,42,44,0,0,1.4249514455150887,2.4894213689052878,0.99077912829246217,0,0.016967242109035968,0,1
115,2,0.090908222662327898,6,0,10,0,14,0,0,0,0,24,0,0,0,6.5086685114470448,0,0,38,0,0,0,46,48,1.4021813913654382,2.3903127209938413,1.099881929137307,0,0.016915420211873276,0,1
116,2,4,0,0.54082121356585322,9.423701135690715,0,1.1141088345123666,16,0,20,0,0,26,15.969716168554857,30,0,0,36,38,27.612840207034282,0,0,0,48,1.6788832391056419,1.9916018421400405,0.99807811128083246,0,0.016862597760411682,0,1
117,2,0,0,0,10,12,14,16,18,0,0,24,0,28,30,24.441612734321453,0,28.708506667922467,38,40,0,13.774502208013459,46,48,0.99594999183630906,1.5318483766985542,4.8305513232097717,0,0.016573457059968429,0,1
118,2,4,0.71534544428912139,0,10,12,14,16,18,20,16.741451270816917,24,26,16.53154833973548,30,0,0,36,38,40,0,0,46,0,1.4008107868308144,2.5934934944639836,0.99881264666050562,0,0.016322508648210124,0,1
119,2,0,0,8,10,5.9941447937624481,14,0,0,0,22,24,12.652759058959798,28,0,0,0,0,38,0,42,13.566894966255092,0,48,1.0959241796923611,1.1119547323315002,4.8296399075317904,0,0.015847851812908709,0,1

summary,value
function,WFG1
generation_count,1000
evaluation_count,95000
final_alpha,13.582934966848336
population_size,120
dimension,24
M,3
k,4
l,20

